EVBDD
L 25
T 2
N 32630
R 1
S 1
; level 1
222 0 0	1153 0 1	; 6135
963 0 0	1076 0 1	; 6136
982 0 1	1011 0 1	; 6137
238 0 0	983 0 0	; 6138
234 0 1	2449 0 1	; 6139
1662 0 1	2450 0 1	; 6140
1656 0 1	2014 0 1	; 6141
414 0 0	1657 0 1	; 6142
234 0 1	2451 0 1	; 6143
1661 0 1	1662 0 1	; 6144
1324 0 0	1659 0 1	; 6145
309 0 1	1149 0 0	; 6146
1654 0 1	2452 0 0	; 6147
1658 0 0	2453 0 1	; 6148
1630 0 0	1666 0 0	; 6149
1634 0 0	1679 0 1	; 6150
1672 0 1	2454 0 1	; 6151
1324 0 0	1631 0 0	; 6152
1637 0 1	1672 0 1	; 6153
1324 0 0	1635 0 0	; 6154
287 0 1	1149 0 0	; 6155
1671 0 0	1681 0 0	; 6156
414 0 0	1675 0 0	; 6157
1138 0 0	1669 0 1	; 6158
1141 0 0	2455 0 1	; 6159
287 0 1	1147 0 1	; 6160
1141 0 0	1147 0 1	; 6161
1139 0 0	1754 0 1	; 6162
1139 0 0	1701 0 1	; 6163
1138 0 1	1669 0 1	; 6164
1139 0 0	1147 0 1	; 6165
246 0 1	1639 0 1	; 6166
1634 0 0	1682 0 1	; 6167
1324 0 0	1630 0 0	; 6168
246 0 1	1679 0 1	; 6169
1323 0 0	1672 0 1	; 6170
1631 0 0	2026 0 0	; 6171
1672 0 1	2456 0 1	; 6172
1323 0 0	2454 0 1	; 6173
1753 0 1	2454 0 1	; 6174
1356 0 1	1683 0 1	; 6175
261 0 1	2457 0 1	; 6176
1693 0 1	1696 0 0	; 6177
1359 0 0	2035 0 1	; 6178
427 0 1	1688 0 1	; 6179
261 0 1	2458 0 1	; 6180
1692 0 1	1693 0 1	; 6181
1356 0 1	1690 0 1	; 6182
427 0 1	1691 0 1	; 6183
311 0 1	1687 0 0	; 6184
1684 0 1	2459 0 0	; 6185
1689 0 0	2460 0 1	; 6186
1696 0 0	1697 0 0	; 6187
1634 0 0	2454 0 1	; 6188
1324 0 0	1971 0 1	; 6189
271 0 1	2461 0 1	; 6190
1352 0 1	2116 0 1	; 6191
1396 0 1	1703 0 1	; 6192
1348 0 1	2026 0 0	; 6193
1149 0 1	1631 0 0	; 6194
1373 0 1	1705 0 1	; 6195
1714 0 1	2462 0 1	; 6196
1709 0 1	2048 0 1	; 6197
282 0 1	2463 0 1	; 6198
1713 0 1	1714 0 1	; 6199
1373 0 1	1711 0 1	; 6200
436 0 0	1712 0 1	; 6201
313 0 1	1708 0 0	; 6202
1706 0 1	2464 0 0	; 6203
1710 0 0	2465 0 1	; 6204
1718 0 0	1975 0 0	; 6205
414 0 0	1720 0 1	; 6206
1323 0 1	1670 0 0	; 6207
1138 0 0	1147 0 1	; 6208
1139 0 0	2455 0 1	; 6209
1138 0 1	1147 0 1	; 6210
246 0 1	1138 1 1	; 6211
1642 0 0	1672 0 1	; 6212
1672 0 1	1753 0 1	; 6213
1323 0 0	1637 0 1	; 6214
1637 0 1	1753 0 1	; 6215
1398 0 0	1722 0 1	; 6216
296 0 0	2466 0 1	; 6217
1732 0 1	2467 0 1	; 6218
1727 0 1	2058 0 1	; 6219
82 0 0	1728 0 1	; 6220
296 0 0	2468 0 1	; 6221
1731 0 1	1732 0 1	; 6222
1398 0 0	1406 0 0	; 6223
82 0 0	1730 0 1	; 6224
314 0 0	1726 0 0	; 6225
1723 0 1	2469 0 1	; 6226
1729 0 1	2470 0 1	; 6227
1736 0 1	1984 0 1	; 6228
1324 0 0	1739 0 1	; 6229
1149 0 1	1635 0 0	; 6230
268 0 0	2471 0 1	; 6231
1747 0 1	2472 0 1	; 6232
1742 0 1	2278 0 0	; 6233
414 0 0	1743 0 1	; 6234
268 0 0	2473 0 1	; 6235
1746 0 1	1747 0 1	; 6236
1324 0 0	1745 0 0	; 6237
315 0 0	1149 0 0	; 6238
1740 0 1	2474 0 1	; 6239
1744 0 0	2475 0 1	; 6240
1677 0 0	1750 0 0	; 6241
1138 0 0	1149 0 0	; 6242
1639 0 1	1673 0 0	; 6243
0 0 0	287 0 1	; 6244
1141 0 0	1673 0 0	; 6245
1634 0 0	1637 0 1	; 6246
1149 0 0	1633 0 0	; 6247
287 0 1	1323 0 0	; 6248
1138 1 1	1673 0 0	; 6249
1634 0 0	1672 0 1	; 6250
1323 0 0	1633 0 1	; 6251
1323 0 0	1639 0 1	; 6252
1138 1 1	1141 0 0	; 6253
1428 0 1	1755 0 1	; 6254
1765 0 1	2476 0 1	; 6255
1759 0 1	2074 0 0	; 6256
447 0 0	1760 0 1	; 6257
305 0 0	2477 0 1	; 6258
1764 0 1	1765 0 1	; 6259
1428 0 1	1762 0 1	; 6260
447 0 0	1763 0 1	; 6261
316 0 0	1758 0 0	; 6262
316 0 0	2478 0 0	; 6263
1441 0 0	1761 0 0	; 6264
1769 0 0	1998 0 0	; 6265
1671 0 0	1772 0 1	; 6266
1323 0 0	1681 0 0	; 6267
1138 0 1	1681 0 0	; 6268
317 0 0	1270 0 1	; 6269
1191 0 0	1263 0 1	; 6270
1149 0 0	1701 0 1	; 6271
1323 0 1	1675 0 0	; 6272
1233 0 1	1881 0 1	; 6273
1173 0 0	2160 0 1	; 6274
363 0 0	1881 0 1	; 6275
1173 0 0	1878 0 1	; 6276
330 0 0	2162 0 1	; 6277
1875 0 1	1880 0 1	; 6278
1173 0 0	1235 0 1	; 6279
1446 0 1	1448 0 0	; 6280
1174 1 0	366 0 0	; 6281
364 0 1	1903 0 1	; 6282
1218 0 0	1892 0 1	; 6283
1214 0 0	1898 0 1	; 6284
355 0 1	1894 0 1	; 6285
2170 0 0	2480 0 1	; 6286
1892 0 1	1902 0 1	; 6287
1173 0 0	1905 0 1	; 6288
1174 0 0	1235 0 1	; 6289
1448 0 0	2158 0 1	; 6290
367 0 0	1931 0 0	; 6291
1920 0 0	2185 0 1	; 6292
1274 0 0	1283 0 0	; 6293
392 0 0	1923 0 1	; 6294
2187 0 0	2481 0 1	; 6295
1920 0 0	1930 0 1	; 6296
1173 0 0	2194 0 1	; 6297
1174 0 0	1239 0 1	; 6298
1240 0 1	1938 0 1	; 6299
1173 0 0	2195 0 1	; 6300
368 0 1	1938 0 1	; 6301
1173 0 0	1936 0 1	; 6302
399 0 1	2197 0 1	; 6303
1933 0 1	1937 0 1	; 6304
1443 0 0	1443 0 1	; 6305
1446 0 1	2158 0 1	; 6306
0 0 0	1237 0 1	; 6307
1444 0 1	2158 0 1	; 6308
1237 0 1	1443 0 1	; 6309
1443 1 0	1444 0 1	; 6310
1446 0 1	1448 0 1	; 6311
1174 1 0	2158 0 1	; 6312
370 0 1	1948 0 0	; 6313
1466 0 1	1941 0 0	; 6314
1470 0 1	1940 0 1	; 6315
408 0 1	1478 0 1	; 6316
1492 0 0	2482 0 1	; 6317
1449 0 0	1941 0 0	; 6318
1445 0 1	1511 0 1	; 6319
1174 0 0	1244 0 1	; 6320
326 0 1	1443 0 1	; 6321
1174 0 1	1234 0 1	; 6322
325 0 1	2483 0 1	; 6323
2167 0 1	2484 0 1	; 6324
1233 0 1	2485 0 1	; 6325
325 0 1	2486 0 1	; 6326
1233 0 1	2168 0 0	; 6327
2086 0 1	2162 0 0	; 6328
1178 0 1	1233 0 1	; 6329
363 0 0	1883 0 0	; 6330
1243 0 1	2487 0 1	; 6331
1238 0 1	2488 0 1	; 6332
325 0 1	2489 0 1	; 6333
1238 0 1	2158 0 0	; 6334
325 0 1	1207 0 1	; 6335
1237 0 0	1238 0 1	; 6336
325 0 1	2490 0 1	; 6337
1172 0 0	2483 0 1	; 6338
1172 0 1	2483 0 1	; 6339
325 0 1	2491 0 1	; 6340
1234 0 1	1443 0 0	; 6341
1243 0 1	2492 0 1	; 6342
1172 0 0	2493 0 1	; 6343
2204 0 1	2487 0 1	; 6344
1243 0 1	2493 0 1	; 6345
1238 0 1	2494 0 1	; 6346
2093 0 1	2495 0 1	; 6347
1174 0 0	2496 0 1	; 6348
1448 0 1	2488 0 1	; 6349
352 0 1	2497 0 1	; 6350
2175 0 1	2498 0 1	; 6351
1219 0 1	1893 0 1	; 6352
352 0 1	2499 0 1	; 6353
1893 0 1	2176 0 0	; 6354
352 0 1	2500 0 1	; 6355
1894 0 0	2268 0 1	; 6356
364 0 1	1897 0 0	; 6357
1910 0 1	2501 0 1	; 6358
325 0 1	1912 0 1	; 6359
1238 0 1	2487 0 1	; 6360
1172 0 0	2489 0 1	; 6361
1172 0 1	2489 0 1	; 6362
1238 0 1	1443 1 1	; 6363
1234 0 1	2495 0 1	; 6364
1234 0 1	2496 0 1	; 6365
1174 0 0	2156 0 1	; 6366
1448 0 1	2158 0 0	; 6367
389 0 1	2502 0 1	; 6368
2192 0 1	2503 0 1	; 6369
1921 0 0	2504 0 1	; 6370
389 0 1	2505 0 1	; 6371
1921 0 0	2193 0 1	; 6372
389 0 1	2506 0 1	; 6373
1923 0 0	2271 0 1	; 6374
1279 0 1	1921 0 0	; 6375
367 0 0	1926 0 1	; 6376
2202 0 1	2507 0 1	; 6377
1240 0 1	2508 0 1	; 6378
325 0 1	2509 0 0	; 6379
1240 0 1	2203 0 1	; 6380
2090 0 1	2197 0 0	; 6381
1240 0 1	1295 0 1	; 6382
368 0 1	1939 0 1	; 6383
1238 0 1	2493 0 1	; 6384
1174 0 0	1207 0 1	; 6385
0 0 0	1207 0 1	; 6386
1172 0 0	1448 0 0	; 6387
1174 0 0	1443 0 1	; 6388
1311 0 1	1478 0 0	; 6389
1174 0 0	1889 0 1	; 6390
325 0 1	1443 0 1	; 6391
1172 0 1	1207 0 1	; 6392
366 0 0	1443 0 1	; 6393
1237 0 0	1448 0 1	; 6394
1661 0 0	1954 0 0	; 6395
1630 0 0	2510 0 0	; 6396
414 0 0	2511 0 1	; 6397
1630 0 0	2451 0 0	; 6398
414 0 0	2512 0 1	; 6399
1654 0 0	2513 0 0	; 6400
1137 0 0	2514 0 1	; 6401
1630 0 0	2453 0 1	; 6402
1630 0 0	2515 0 1	; 6403
234 0 1	1668 0 0	; 6404
1634 0 0	2516 0 0	; 6405
1140 0 0	1147 0 0	; 6406
1638 0 0	1753 0 0	; 6407
1638 0 0	1642 0 1	; 6408
1426 0 0	1637 0 0	; 6409
1149 1 0	1634 0 0	; 6410
1140 0 0	1149 0 0	; 6411
287 0 1	1147 0 0	; 6412
1138 0 1	1140 0 0	; 6413
310 0 0	1701 0 1	; 6414
1692 0 0	1969 0 0	; 6415
1696 0 0	2517 0 0	; 6416
427 0 1	2518 0 1	; 6417
1696 0 0	2458 0 0	; 6418
427 0 1	2519 0 1	; 6419
1684 0 0	2520 0 0	; 6420
1686 0 0	1700 0 1	; 6421
1696 0 0	2460 0 1	; 6422
1696 0 0	2521 0 0	; 6423
414 0 0	1971 0 1	; 6424
1344 0 0	1346 0 0	; 6425
414 0 0	2046 0 1	; 6426
414 0 0	1418 0 0	; 6427
1344 0 0	2522 0 1	; 6428
1713 0 0	1981 0 0	; 6429
1975 0 0	2523 0 0	; 6430
436 0 0	1708 0 0	; 6431
1975 0 0	2463 0 0	; 6432
436 0 0	2524 0 1	; 6433
1706 0 0	2525 0 0	; 6434
1707 0 0	1957 0 1	; 6435
1975 0 0	2465 0 1	; 6436
1975 0 0	2526 0 0	; 6437
1634 0 0	1638 0 0	; 6438
1323 0 0	1632 0 0	; 6439
1323 0 1	1632 0 0	; 6440
1637 0 0	1753 0 0	; 6441
1637 0 0	1642 0 1	; 6442
1138 1 0	1634 0 0	; 6443
1147 0 0	1149 0 0	; 6444
1138 0 1	1147 0 0	; 6445
1731 0 0	1991 0 1	; 6446
1984 0 1	2527 0 1	; 6447
82 0 0	2528 0 1	; 6448
1984 0 1	2468 0 0	; 6449
82 0 0	2529 0 1	; 6450
1723 0 0	2530 0 1	; 6451
1725 0 1	2531 0 1	; 6452
1984 0 1	2470 0 1	; 6453
1984 0 1	2532 0 1	; 6454
1746 0 0	1996 0 0	; 6455
1677 0 0	1962 0 0	; 6456
414 0 0	2533 0 1	; 6457
1677 0 0	2473 0 0	; 6458
1740 0 0	1839 0 1	; 6459
1146 0 1	2534 0 1	; 6460
1677 0 0	2475 0 1	; 6461
1677 0 0	2535 0 1	; 6462
268 0 0	1752 0 0	; 6463
1138 1 0	1140 0 0	; 6464
246 0 1	1637 0 0	; 6465
1642 0 1	2516 0 0	; 6466
246 0 1	1638 0 0	; 6467
1149 1 0	1639 0 0	; 6468
1139 0 0	1642 0 1	; 6469
1138 0 1	1671 0 0	; 6470
1140 0 0	1639 0 0	; 6471
1639 0 0	2516 0 0	; 6472
1149 0 0	1642 0 1	; 6473
1764 0 0	2005 0 0	; 6474
1998 0 0	2536 0 0	; 6475
447 0 0	2537 0 1	; 6476
1998 0 0	2477 0 0	; 6477
447 0 0	2538 0 1	; 6478
1756 0 0	2539 0 0	; 6479
1757 0 0	2540 0 1	; 6480
1441 0 0	1998 0 0	; 6481
1998 0 0	2541 0 0	; 6482
1139 0 0	2540 0 1	; 6483
1138 0 1	1754 0 1	; 6484
1209 0 0	2013 0 0	; 6485
1197 0 0	2542 0 0	; 6486
325 0 1	2543 0 1	; 6487
1197 0 0	2544 0 1	; 6488
325 0 1	2545 0 1	; 6489
1270 0 0	2546 0 0	; 6490
1191 0 0	1206 0 1	; 6491
1197 0 0	1201 0 1	; 6492
1174 0 0	1197 0 0	; 6493
1323 0 0	1963 0 1	; 6494
1323 0 1	1963 0 1	; 6495
223 0 0	999 0 0	; 6496
976 0 0	2547 0 1	; 6497
972 0 1	2548 0 1	; 6498
969 0 1	1551 0 1	; 6499
970 0 1	999 0 0	; 6500
976 0 0	976 0 1	; 6501
229 0 1	2549 0 1	; 6502
974 0 1	999 0 0	; 6503
963 0 0	224 0 0	; 6504
979 0 1	2550 0 1	; 6505
2416 0 1	2551 0 1	; 6506
229 0 1	971 0 0	; 6507
993 0 1	2552 0 1	; 6508
990 0 1	1008 0 1	; 6509
988 0 1	999 0 0	; 6510
242 0 0	2439 0 1	; 6511
999 0 0	1011 0 1	; 6512
242 0 0	1009 0 1	; 6513
982 0 0	999 0 0	; 6514
982 0 1	999 0 0	; 6515
963 0 1	223 0 0	; 6516
1115 0 0	2552 0 1	; 6517
1003 0 0	1003 0 1	; 6518
999 0 0	1002 0 0	; 6519
1009 0 1	1011 0 1	; 6520
242 0 0	989 0 0	; 6521
1005 0 1	2552 0 1	; 6522
993 0 1	2553 0 1	; 6523
1070 0 0	2554 0 1	; 6524
963 0 0	986 0 1	; 6525
985 0 1	2554 0 1	; 6526
983 0 1	986 0 1	; 6527
1003 0 0	2552 0 1	; 6528
990 0 1	1012 0 1	; 6529
252 0 1	1567 0 0	; 6530
1026 0 0	2555 0 1	; 6531
1022 0 0	2556 0 1	; 6532
1020 0 1	1567 0 0	; 6533
1026 0 0	1026 0 1	; 6534
240 0 1	2557 0 1	; 6535
1024 0 1	1567 0 0	; 6536
253 0 1	1018 0 0	; 6537
1029 0 1	2558 0 1	; 6538
2422 0 1	2559 0 1	; 6539
240 0 1	1021 0 1	; 6540
990 0 1	1009 0 1	; 6541
223 0 0	969 0 1	; 6542
1044 0 0	2560 0 1	; 6543
1001 0 1	2561 0 1	; 6544
999 0 0	1039 0 1	; 6545
1044 0 0	1044 0 1	; 6546
249 0 1	2562 0 1	; 6547
999 0 0	1042 0 1	; 6548
963 0 0	265 0 1	; 6549
1047 0 1	1582 0 1	; 6550
2425 0 1	2561 0 1	; 6551
249 0 1	1040 0 1	; 6552
982 0 1	1135 0 1	; 6553
275 0 0	1588 0 0	; 6554
1059 0 0	1063 0 0	; 6555
1059 0 0	2563 0 1	; 6556
1057 0 0	1588 0 0	; 6557
1063 0 0	1063 0 1	; 6558
241 0 1	2564 0 1	; 6559
1061 0 1	1588 0 0	; 6560
276 0 1	1591 0 0	; 6561
1066 0 1	2565 0 1	; 6562
2429 0 1	2566 0 1	; 6563
241 0 1	1058 0 1	; 6564
990 0 1	2552 0 1	; 6565
999 0 0	1598 0 1	; 6566
963 0 1	988 0 1	; 6567
1003 0 1	1115 0 0	; 6568
1003 0 1	1005 0 1	; 6569
1003 0 0	1005 0 0	; 6570
1070 0 0	1070 0 1	; 6571
983 0 0	1071 0 1	; 6572
238 0 0	2554 0 1	; 6573
983 0 1	1071 0 1	; 6574
983 1 1	242 0 0	; 6575
292 0 0	1600 0 0	; 6576
1093 0 0	2567 0 1	; 6577
1089 0 0	2568 0 1	; 6578
1087 0 0	1600 0 0	; 6579
1093 0 0	1093 0 1	; 6580
243 0 0	2569 0 0	; 6581
1091 0 0	1600 0 0	; 6582
285 0 0	1090 0 0	; 6583
1096 0 1	2570 0 1	; 6584
2433 0 1	2571 0 0	; 6585
243 0 0	1088 0 1	; 6586
1109 0 0	2572 0 1	; 6587
1002 0 0	2573 0 1	; 6588
1042 0 1	1610 0 1	; 6589
999 0 0	1105 0 1	; 6590
1109 0 0	1109 0 1	; 6591
83 0 0	2574 0 0	; 6592
81 0 0	963 0 0	; 6593
1112 0 1	2575 0 1	; 6594
2438 0 1	2576 0 0	; 6595
83 0 0	1106 0 0	; 6596
242 0 0	1003 0 0	; 6597
982 0 0	989 0 0	; 6598
242 0 0	2552 0 1	; 6599
242 0 0	1003 0 1	; 6600
963 0 0	989 0 1	; 6601
983 1 1	1070 0 0	; 6602
982 0 0	984 0 1	; 6603
963 0 0	983 0 0	; 6604
1070 0 0	2439 0 1	; 6605
982 0 0	983 0 1	; 6606
302 0 0	1620 0 0	; 6607
1125 0 0	1129 0 0	; 6608
1125 0 0	2577 0 1	; 6609
1123 0 0	1620 0 0	; 6610
1129 0 0	1129 0 1	; 6611
245 0 0	2578 0 0	; 6612
1127 0 0	1620 0 0	; 6613
286 0 0	1131 0 0	; 6614
1132 0 1	2579 0 0	; 6615
2442 0 1	2580 0 0	; 6616
245 0 0	1124 0 1	; 6617
1073 0 1	1117 0 1	; 6618
1147 0 0	1147 0 1	; 6619
1149 0 0	1754 0 1	; 6620
1564 0 1	1642 0 1	; 6621
320 0 0	1644 0 0	; 6622
1164 0 0	2581 0 1	; 6623
1160 0 0	2582 0 0	; 6624
1158 0 0	1644 0 0	; 6625
1164 0 0	1164 0 1	; 6626
247 0 0	2583 0 0	; 6627
1162 0 0	1644 0 0	; 6628
1154 0 0	1645 0 0	; 6629
288 0 0	1653 0 0	; 6630
1167 0 1	2584 0 0	; 6631
2448 0 0	2582 0 0	; 6632
247 0 0	1159 0 1	; 6633
999 0 0	1170 0 1	; 6634
982 0 0	1011 0 1	; 6635
963 0 1	1011 0 1	; 6636
238 0 0	1070 0 1	; 6637
989 0 0	1005 0 0	; 6638
989 0 0	1005 0 1	; 6639
983 0 1	242 0 0	; 6640
834 0 0	836 0 0	; 6641
201 0 0	850 0 1	; 6642
199 0 0	879 0 0	; 6643
850 0 1	1790 0 0	; 6644
198 0 0	862 0 1	; 6645
836 0 1	838 0 0	; 6646
836 0 0	941 0 0	; 6647
836 0 1	941 0 0	; 6648
199 0 0	960 0 0	; 6649
836 0 0	896 0 0	; 6650
201 0 0	948 0 0	; 6651
199 0 0	828 1 0	; 6652
196 0 1	2099 0 0	; 6653
900 0 0	2096 0 0	; 6654
196 0 1	957 0 0	; 6655
196 0 1	906 0 0	; 6656
200 0 1	2097 0 0	; 6657
200 0 1	875 0 1	; 6658
198 0 0	907 0 1	; 6659
850 0 0	1790 0 0	; 6660
836 0 1	896 0 0	; 6661
828 1 0	830 0 0	; 6662
830 0 0	850 0 1	; 6663
830 0 0	1790 0 0	; 6664
835 0 0	847 0 0	; 6665
830 0 0	896 0 0	; 6666
0 0 0	830 0 0	; 6667
207 0 0	2585 0 1	; 6668
207 0 0	2586 0 1	; 6669
210 0 0	2587 0 0	; 6670
854 0 0	2585 0 1	; 6671
886 0 0	2587 0 0	; 6672
886 0 0	2588 0 1	; 6673
862 0 1	944 0 0	; 6674
943 0 0	2589 0 1	; 6675
855 0 0	856 0 0	; 6676
854 0 0	2589 0 1	; 6677
207 0 0	2590 0 1	; 6678
851 0 0	2588 0 1	; 6679
210 0 0	2588 0 1	; 6680
856 0 1	2585 0 1	; 6681
854 0 0	2591 0 1	; 6682
75 0 1	2591 0 1	; 6683
207 0 0	2592 0 1	; 6684
2593 0 0	2594 0 1	; 6685
2594 0 1	2595 0 0	; 6686
856 0 0	2586 0 1	; 6687
856 0 1	2586 0 1	; 6688
75 0 1	887 0 1	; 6689
858 0 0	862 0 1	; 6690
207 0 0	2589 0 1	; 6691
2594 0 1	2596 0 0	; 6692
2594 0 1	2597 0 0	; 6693
0 0 0	853 0 0	; 6694
860 0 1	944 0 0	; 6695
851 0 0	887 0 1	; 6696
860 0 1	2587 0 0	; 6697
851 0 0	853 0 0	; 6698
860 0 1	887 1 1	; 6699
856 0 0	944 0 0	; 6700
851 0 1	2587 0 0	; 6701
223 0 0	2598 0 1	; 6702
998 0 1	2599 0 0	; 6703
2600 0 1	2601 0 1	; 6704
1077 0 1	2602 0 1	; 6705
223 0 0	2603 0 1	; 6706
1073 0 1	2604 0 1	; 6707
1077 0 1	2605 0 1	; 6708
223 0 0	2606 0 1	; 6709
988 0 1	998 0 1	; 6710
998 0 1	2606 0 1	; 6711
1001 0 1	2603 0 1	; 6712
1079 0 1	2605 0 1	; 6713
1036 0 1	2607 0 1	; 6714
222 0 0	1799 0 1	; 6715
222 0 0	2607 0 1	; 6716
1075 0 1	1077 0 1	; 6717
984 0 1	2605 0 1	; 6718
222 0 0	2605 0 1	; 6719
1079 0 1	2608 0 1	; 6720
1077 0 1	2608 0 1	; 6721
1018 1 0	1019 0 1	; 6722
2609 0 0	2610 0 1	; 6723
2611 0 1	2612 0 1	; 6724
2613 0 1	2614 0 1	; 6725
963 0 0	2615 0 1	; 6726
1077 0 1	2616 0 1	; 6727
265 0 1	1036 0 1	; 6728
222 0 0	2617 0 1	; 6729
2618 0 1	2619 0 1	; 6730
1077 0 1	2620 0 1	; 6731
963 0 1	2607 0 1	; 6732
1056 0 0	2621 0 0	; 6733
2622 0 0	2623 0 1	; 6734
2624 0 1	2625 0 1	; 6735
1052 0 1	2626 0 1	; 6736
998 0 1	1598 0 1	; 6737
982 0 0	2606 0 1	; 6738
1171 0 1	2606 0 1	; 6739
1086 0 0	2627 0 0	; 6740
2628 0 0	2629 0 1	; 6741
2630 0 1	2631 0 1	; 6742
2632 0 1	2633 0 1	; 6743
222 0 0	2608 0 1	; 6744
223 0 0	2634 0 1	; 6745
223 0 0	2635 0 1	; 6746
2636 0 1	2637 0 1	; 6747
1077 0 1	2638 0 1	; 6748
984 0 1	2608 0 1	; 6749
1122 0 0	2639 0 0	; 6750
2640 0 0	2641 0 1	; 6751
0 0 0	2642 0 1	; 6752
2643 0 1	2644 0 1	; 6753
1337 0 1	2645 0 0	; 6754
1149 0 0	1772 0 1	; 6755
1151 0 1	1641 0 1	; 6756
223 0 0	2646 0 0	; 6757
990 0 1	2647 0 0	; 6758
990 0 1	2648 0 0	; 6759
1138 0 1	2604 0 1	; 6760
1811 0 1	2605 0 1	; 6761
1157 0 0	2649 0 0	; 6762
320 0 0	2650 0 0	; 6763
2651 0 1	2652 0 0	; 6764
1653 1 0	2653 0 1	; 6765
2604 0 1	2654 0 1	; 6766
1811 0 1	2655 0 1	; 6767
1136 0 1	2656 0 1	; 6768
963 0 0	1562 0 1	; 6769
1820 0 1	2605 0 1	; 6770
585 0 0	2657 0 1	; 6771
2257 0 1	2658 0 1	; 6772
2206 0 1	2659 0 1	; 6773
787 0 1	1908 0 1	; 6774
585 0 0	2331 0 0	; 6775
784 0 0	2210 0 1	; 6776
585 0 0	2256 0 1	; 6777
790 0 0	2660 0 1	; 6778
2661 0 1	2662 0 1	; 6779
2183 0 1	2663 0 1	; 6780
791 0 0	2178 0 1	; 6781
195 0 1	2664 0 1	; 6782
790 0 0	2219 0 1	; 6783
783 0 1	2665 0 1	; 6784
787 0 1	2664 0 1	; 6785
784 0 0	2178 0 1	; 6786
1912 0 0	2180 0 1	; 6787
2180 0 1	2666 0 1	; 6788
2217 0 1	2667 0 1	; 6789
783 0 1	1251 0 1	; 6790
2180 0 1	2665 0 1	; 6791
1912 0 1	2180 0 1	; 6792
194 0 1	2668 0 1	; 6793
2178 0 1	2669 0 1	; 6794
789 0 0	2183 0 1	; 6795
1251 0 1	2665 0 1	; 6796
2183 0 1	2670 0 1	; 6797
194 0 1	2665 0 1	; 6798
789 0 0	2663 0 1	; 6799
1251 0 1	2180 0 1	; 6800
2249 0 1	2663 0 1	; 6801
200 0 0	2671 0 1	; 6802
581 0 0	2672 0 1	; 6803
2259 0 1	2672 0 1	; 6804
802 0 0	2673 0 1	; 6805
803 0 1	2674 0 1	; 6806
581 0 0	2259 0 1	; 6807
200 0 0	2675 0 1	; 6808
200 0 0	1780 0 1	; 6809
802 0 0	2676 0 1	; 6810
2672 0 1	2677 0 1	; 6811
1251 0 1	2666 0 1	; 6812
783 0 1	2223 0 1	; 6813
783 0 1	2668 0 1	; 6814
790 1 1	2178 0 1	; 6815
787 0 1	2678 0 1	; 6816
789 0 0	2664 0 1	; 6817
827 0 1	2664 0 1	; 6818
1910 0 1	2183 0 1	; 6819
1913 0 1	1918 0 0	; 6820
1910 0 1	2663 0 1	; 6821
1913 0 1	1918 0 1	; 6822
365 0 0	1912 0 1	; 6823
926 0 0	2233 0 1	; 6824
587 0 0	2679 0 1	; 6825
2263 0 1	2680 0 1	; 6826
2236 0 1	2261 0 1	; 6827
823 0 1	2681 0 1	; 6828
587 0 0	2335 0 1	; 6829
926 0 0	1788 0 0	; 6830
587 0 0	2261 0 1	; 6831
817 0 0	2682 0 1	; 6832
2262 0 1	2683 0 1	; 6833
784 0 0	2245 0 1	; 6834
790 0 1	1914 0 1	; 6835
40 0 1	1853 0 0	; 6836
1853 0 0	2684 0 1	; 6837
790 0 0	816 0 1	; 6838
1853 0 0	1854 0 1	; 6839
783 0 1	2217 0 1	; 6840
838 0 1	1499 0 1	; 6841
482 0 0	2264 0 1	; 6842
1501 0 1	2264 0 1	; 6843
835 0 1	2685 0 1	; 6844
838 0 1	1504 0 1	; 6845
2686 0 1	2687 0 1	; 6846
365 0 0	2688 0 1	; 6847
1910 0 1	2688 0 1	; 6848
789 0 0	1510 0 1	; 6849
791 0 0	2689 0 1	; 6850
0 0 0	2219 0 1	; 6851
791 0 0	2665 0 1	; 6852
790 0 0	2690 0 1	; 6853
790 0 0	2180 0 1	; 6854
789 0 0	2219 0 1	; 6855
791 0 0	2691 0 1	; 6856
787 0 1	1910 0 1	; 6857
789 0 0	2692 0 1	; 6858
789 0 0	2689 0 1	; 6859
790 1 1	2665 0 1	; 6860
1331 0 1	1333 0 1	; 6861
1328 0 1	1676 0 1	; 6862
1337 0 0	2281 0 0	; 6863
1326 0 1	2693 0 1	; 6864
1394 0 0	2694 0 1	; 6865
1341 0 1	1676 0 1	; 6866
1337 0 0	1342 0 1	; 6867
1339 0 1	2695 0 1	; 6868
1337 0 0	2285 0 1	; 6869
1341 0 1	1346 0 0	; 6870
1388 0 1	1394 0 0	; 6871
1392 0 1	1394 0 0	; 6872
1339 0 1	1390 0 1	; 6873
1347 0 0	1426 0 0	; 6874
1359 0 0	1366 0 0	; 6875
1967 0 0	2287 0 0	; 6876
422 0 1	1360 0 0	; 6877
1357 0 1	2696 0 1	; 6878
1358 0 1	2697 0 0	; 6879
1357 0 1	1394 0 0	; 6880
1394 0 0	2284 0 1	; 6881
1149 1 0	1341 0 1	; 6882
1376 0 0	1383 0 0	; 6883
1979 0 0	2292 0 0	; 6884
423 0 0	1377 0 0	; 6885
1374 0 1	2698 0 1	; 6886
1375 0 1	2699 0 0	; 6887
1337 0 0	1973 0 1	; 6888
1426 0 0	2285 0 1	; 6889
